Nama_Mamalia,Klasifikasi,Habitat,Jenis_Makanan,Ciri_Bentuk_Tubuh,Tingkah_Laku,Warna_Tubuh,Tempat_Tinggal
Lumba-lumba Hidung Botol,Mamalia,Pantai dan Lautan,Plankton dan Ikan,Lonjong,Nocturnal,Abu-abu keputihan,Air
Harimau Sumatera,Mamalia,Hutan Hujan Besar,Karnivora,Berat dengan Cakar Besar,Soliter,Orange dengan Garis Tiger,Darat
Gajah Asia,Mamalia,Hutan dan Padang Savana,Herbivora,Besar dengan Belalai,Kepekaan Gerakan Tinggi,Abu-abu,Darat
Orangutan,Mamalia,Hutan Hujan,Omnivora,Kekar dengan Tangan Panjang,Soliter,Orange dengan Rambut Panjang,Darat
Kelelawar Buah,Mamalia,Hutan dan Area Terbuka,Frugivora,Berbulu,Nocturnal,Hitam dengan Bercak Kuning,Darat
Badak Jawa,Mamalia,Hutan Bakau dan Hutan,Herbivora,Besar dengan Kulit Kasar,Soliter,Abu-abu Kelabu,Darat
Beruang Madu,Mamalia,Hutan Hujan,Omnivora,Tegap dengan Cakar Panjang,Soliter,Hitam dengan Cincin Kuning,Darat
Rusa Timor,Mamalia,Hutan dan Padang Rumput,Herbivora,Cepat dengan Tanduk,Nocturnal,Coklat Pudar dengan Putih di Perut,Darat
Trenggiling Jawa,Mamalia,Hutan dan Area Terbuka,Insektofag,Kecil dengan Bulu Perisai,Nocturnal,Berlian Coklat,Darat
Kuskus,Mamalia,Hutan dan Area Bervegetasi,Herbivora,Kecil dengan Ekor Panjang,Soliter,Abu-abu Coklat,Darat
